name	intl_name	brand_name	brand_intl_name	year_month	rank	score	f1	f2	f3	f4	f5	f6	flavour_tags	checkin_count	pictures	similar_brands	id	similar_brand_taste
花泉	Hanaizumi	福島県	Fukushima	202001	15	4.006812572479248	0.342372328042984	0.4945766925811768	0.4910229444503784	0.3511729836463928	0.2835618257522583	0.4397064745426178	|キャラメル|甘味|ガス|酸味|さっぱり|透き通る|旨味|円やか|花|コク|ずっしり|燗冷まし|ラム|フレッシュ|ピチピチ|辛口|スッキリ|フルーティ|スモーキー|レーズン	170	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/oQHhcFQgOJ108|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/8Ku7eU8ewOh0m|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2I0ka5oulARWeQ	手取川|七田|篠峯|王祿|まんさくの花	212	昇龍蓬莱|誠鏡|姿|二兎|旦|アイスブレーカー|鏡山|農口尚彦研究所|金鼓|龍勢
一歩己	Ibuki	福島県	Fukushima	202001	16	4.0067710876464835	0.440759003162384	0.4588714838027954	0.2670174539089203	0.4985290765762329	0.3173650801181793	0.4178735613822937	|メロン|苦味|酸味|旨味|穀物|バランス|さわやか|フルーティ|甘味|桃|まろやか|グレープフルーツ|控えめ|キレ|綺麗|スパイス|さらり|スッキリ|ラム|心地よい	207	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2BOJckbScUWbSr|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/jM90a1jXf78ZG|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/10AHrJCZgIHQAD	冩楽|天明|ロ万|黒龍|而今	1139	雪の茅舎|一歩己|鳴門鯛|ロ万|羽根屋|まんさくの花|信濃鶴|宮寒梅|会津娘|六根
自然酒		福島県	Fukushima	202001	17	4.006767272949219	0.3223710060119629	0.4687520563602448	0.3323674499988556	0.6451603770256042	0.10238438844680786	0.3730493485927582	|甘味|旨味|酸味|ヨーグルト|優しい|ガス|ジューシー|バランス|綺麗|ピチピチ|まろやか|まったり|フルーティ|甘酸っぱい|常温|プチプチ|硬い|心地よい|味噌|カラメル	172	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/oZl8EK2YiWwdv|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/LQXpbnZcjOJh7|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2O317DQllBvPWl	まんさくの花|ちえびじん|而今|加茂錦|五橋	1543	出羽鶴|招徳|自然酒|香取|根知男山|豊の秋|白隠政宗|鷗樹|御代櫻|玉櫻
宮泉		福島県	Fukushima	202001	18	4.006746292114259	0.4803464114665985	0.4026831686496735	0.1795751303434372	0.3589891791343689	0.43562185764312733	0.5061884522438049	|メロン|酸味|苦味|ラムネ|旨味|ピリリ|甘味|キレ|バナナ|フルーティ|上品|スッキリ|芳香|とろみ|リンゴ|余韻|軽快|辛口|バランス|ガス	194	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1KRSGO68srbXgB|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/lBaeKEiWfkJHP|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/5vWTS6JXn1wN0	冩楽|黒龍|ロ万|而今|みむろ杉	2401	宮泉|陸奥八仙|菊盛|伊予賀儀屋|水尾|総乃寒菊|愛宕の松|高千代|豊香|翠露
泉川	Izumikawa	福島県	Fukushima	202001	19	4.006714820861816	0.3931880593299866	0.3329278528690338	0.1726936101913452	0.5917844176292419	0.33671700954437256	0.4910722672939301	|セメダイン|ヨーグルト|フレッシュ|淡い|酸味|じわじわ|控えめ|キレ|フルーティ|メロン|辛口|綺麗|旨味|清涼|ラムネ|柔らかい|マイルド|さっぱり|円やか|さらり	110	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/V5MCeLrJytFYU|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2iDRYN671tkzjB|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2gOZ9MbWg2bBDM	楯野川|加茂錦|伯楽星|冩楽|みむろ杉	1751	勝駒|醴泉|辻善兵衛|正雪|半蔵|萬歳楽|泉川|天心|城陽|天上夢幻
楽器正宗	Gakki Masamune	福島県	Fukushima	202001	20	4.006699562072754	0.5488885641098022	0.3441946506500244	0.14597302675247192	0.16445530951023102	0.33255764842033386	0.6490786671638489	|ガス|メロン|ピリリ|ラムネ|酸味|フルーティ|甘味|カラメル|余韻|苦味|旨味|フレッシュ|軽快|ジューシー|ジュース|桃|バランス|梨|マスカット|グレープフルーツ	184	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1AslZa65kJTTWL|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2NqdBBq03Sf89W|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/MtLskNfOlMw8d	自然郷|風の森|奈良萬|澤屋まつもと|而今	10872	楽器正宗|三百年の掟やぶり|光栄菊|多賀治|町田酒造|咲耶美|琥泉|海風土|東魁盛|風の森
榮川	Eisen	福島県	Fukushima	202001	21	4.006677150726318	0.30172714591026306	0.2708144187927246	0.2706497013568878	0.4996598958969116	0.5609775185585022	0.4449867904186249	|辛口|ほのか|スッキリ|スパイス|ゴクゴク|まろやか|レモン|さっぱり|旨味|しっかり|アミノ酸|ツン|マイルド|薄い|昔ながら|厚み|余韻|なめらか|酸味|安定	114	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1Csw28QmEc9kDH|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/28qaqMwMO964i1|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2tRsBl9VjEi7ea	越乃景虎|南部美人|鶴齢|酔鯨|田酒	194	榮川|初孫|〆張鶴|乾坤一|宮の雪|白鷹|谷川岳|高清水|千歳鶴|あぶくま
会津ほまれ	Aizuhomare	福島県	Fukushima	202001	22	4.00667667388916	0.3963015377521515	0.3755291104316712	0.2651001214981079	0.4919794499874115	0.3674733936786652	0.5045437812805176	|バランス|スッキリ|フルーティ|チーズ|辛口|梨|酸味|淡い|キリリ|ふんわり|薄い|昔ながら|グイグイ|チョコレート|ほのか|熱燗|旨味|甘味|上品|桃	154	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/KVjqEwmBHAwUv|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/ingMulcuYVUx9|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1dCzMpjTGz8XP3	澤乃井|上喜元|雨後の月|久保田|真澄	221	開運|藏王|米鶴|李白|田酒|六根|天覧山|丈径|庭のうぐいす|篠峯
末廣	Suehiro	福島県	Fukushima	202001	23	4.006672859191895	0.29000335931777954	0.4666353762149811	0.4285105168819428	0.5306450128555298	0.3079836368560791	0.371604859828949	|常温|熱燗|香ばしい|スッキリ|甘味|苦味|どっしり|辛口|旨味|冷酒|味噌|酸味|醤油|派手|穏やか|アミノ酸|ツン|ラムネ|まろやか|ミルク	178	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2WBiclA3jDz3eb|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1AA6tuOAzKYTUd|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/Q2HbTMpZC1ur1	七本鎗|龍力|九頭龍|雨後の月|いづみ橋	210	末廣|十六代九郎右衛門|タクシードライバー|千福|山の井|喜久酔|義侠|天の戸|松みどり|金陵
山の井	Yamanoi	福島県	Fukushima	202001	24	4.006670951843262	0.3436609208583832	0.4453540444374085	0.3658068776130676	0.5576165318489075	0.3143115341663361	0.37418484687805176	|ハーブ|レーズン|スパイシー|甘味|優しい|旨味|甘酸っぱい|フルーティ|ふくよか|酸味|綺麗|ナッツ|柔らかい|ピリリ|ひろがる|じわじわ|ブドウ|ふんわり|辛口|スッキリ	212	https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2qoEmxZarvqWbe|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1YoiM3wVGlVcvQ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/dLjMhIho25OcQ	大那|貴|播州一献|手取川|羽根屋	1789	山の井|英勲|天の戸|奥能登の白菊|旭菊|福小町|金陵|蓬莱泉|萩乃露|喜久酔
